ticket_id,date,device_type,issue_category,severity,requires_human_review,status,resolution_time_hours
1,2026-06-01,Endoscope tower,Imaging / video issue,High,Yes,Resolved,4.5
2,2026-06-01,Surgical camera,Imaging / video issue,High,Yes,Open,0
3,2026-06-02,Laser system,Laser output / calibration issue,Medium,Yes,Resolved,6
4,2026-06-02,Imaging workstation,Software / workstation issue,Medium,No,Resolved,3
5,2026-06-03,Light source,Light source / illumination issue,Low,No,Resolved,2
6,2026-06-03,Endoscope tower,Imaging / video issue,High,Yes,Open,0
7,2026-06-04,Laser system,Laser output / calibration issue,Medium,Yes,Resolved,5.5
8,2026-06-04,Imaging workstation,Software / workstation issue,Medium,No,Open,0
9,2026-06-05,Light source,Light source / illumination issue,Low,No,Resolved,1.5
10,2026-06-05,Other / unknown,General technical issue,Low,No,Resolved,2.5
11,2026-06-06,Surgical camera,Surgical camera issue,Medium,Yes,Resolved,4
12,2026-06-06,Endoscope tower,Endoscopy system issue,Medium,No,Resolved,3.5
